dist,C2',C3'
0.74,23.2265014648438,0.0810435712337494
0.75,23.3937721252441,0.0875433534383774
0.76,23.547046661377,0.0943113267421722
0.77,23.686450958252,0.101332880556583
0.78,23.8121318817139,0.108590863645077
0.79,23.9242515563965,0.116065800189972
0.8,24.0230083465576,0.123735889792442
0.81,24.1087017059326,0.131577432155609
0.82,24.1815795898438,0.139564961194992
0.83,24.2419700622559,0.147671610116959
0.84,24.2902183532715,0.15586943924427
0.85,24.3267459869385,0.164129808545113
0.86,24.3519744873047,0.172423750162125
0.87,24.3663520812988,0.180722564458847
0.88,24.3703708648682,0.188998103141785
0.89,24.3645820617676,0.197223350405693
0.9,24.3495292663574,0.205372780561447
0.91,24.3257904052734,0.213422864675522
0.92,24.2939739227295,0.221352338790894
0.93,24.2547187805176,0.229142740368843
0.94,24.2086696624756,0.236778616905212
0.95,24.1564445495605,0.244247913360596
0.96,24.0987586975098,0.251541942358017
0.97,24.0362548828125,0.258655726909637
0.98,23.9695663452148,0.265587866306305
0.99,23.8993492126465,0.272340595722198
1,23.8262214660645,0.278919667005539
1.01,23.7507762908936,0.28533399105072
1.02,23.6735706329346,0.29159551858902
1.03,23.595157623291,0.297718733549118
1.04,23.5159702301025,0.30372017621994
1.05,23.4364166259766,0.30961799621582
1.06,23.3569507598877,0.315431326627731
1.07,23.2777786254883,0.321179807186127
1.08,23.1992073059082,0.326882481575012
1.09,23.1213836669922,0.332557767629623
1.1,23.0444297790527,0.338222235441208
1.11,22.9683742523193,0.343890249729156
1.12,22.8931770324707,0.349573343992233
1.13,22.8187618255615,0.355279564857483
1.14,22.7449359893799,0.361012905836105
1.15,22.6714935302734,0.366773128509521
1.16,22.5981483459473,0.372555047273636
1.17,22.5245628356934,0.378348678350449
1.18,22.4503326416016,0.384138762950897
1.19,22.375057220459,0.389905244112015
1.2,22.2982788085938,0.395622670650482
1.21,22.2194919586182,0.401261001825333
1.22,22.1382217407227,0.406785875558853
1.23,22.05393409729,0.412158727645874
1.24,21.9661102294922,0.417337745428085
1.25,21.8742408752441,0.422278314828873
1.26,21.7778129577637,0.426933825016022
1.27,21.6763534545898,0.431256383657455
1.28,21.5693855285645,0.435198068618774
1.29,21.4565010070801,0.438711315393448
1.3,21.3372840881348,0.441750198602676
1.31,21.2113838195801,0.444271177053452
1.32,21.0784950256348,0.446234315633774
1.33,20.9383811950684,0.447603762149811
1.34,20.7908191680908,0.44834890961647
1.35,20.6356620788574,0.448444902896881
1.36,20.472827911377,0.447873651981354
1.37,20.3022594451904,0.446623980998993
1.38,20.1240081787109,0.444692552089691
1.39,19.9381427764893,0.442083925008774
1.4,19.7447834014893,0.438810884952545
1.41,19.5441570281982,0.434894233942032
1.42,19.3364791870117,0.430363357067108
1.43,19.1220474243164,0.425255626440048
1.44,18.9012012481689,0.41961607336998
1.45,18.67431640625,0.413497149944305
1.46,18.4418277740479,0.406958103179932
1.47,18.2041511535645,0.400064140558243
1.48,17.9617919921875,0.392885982990265
1.49,17.7152500152588,0.385498613119125
1.5,17.4650115966797,0.377980828285217
1.51,17.2116394042969,0.370413899421692
1.52,16.9556770324707,0.362880498170853
1.53,16.6976509094238,0.355464041233063
1.54,16.4380989074707,0.348247200250626
1.55,16.1775646209717,0.341311097145081
1.56,15.9165754318237,0.334734201431274
1.57,15.655632019043,0.328591287136078
1.58,15.3952388763428,0.322952806949615
1.59,15.1358613967896,0.317883253097534
1.6,14.8779525756836,0.31344136595726
1.61,14.6219282150269,0.30967852473259
1.62,14.3681869506836,0.306638777256012
1.63,14.1171131134033,0.304357945919037
1.64,13.869026184082,0.302863538265228
1.65,13.6242599487305,0.302174150943756
1.66,13.3831005096436,0.302299678325653
1.67,13.1458005905151,0.303240805864334
1.68,12.9126071929932,0.304989546537399
1.69,12.6837091445923,0.307529360055923
1.7,12.4593276977539,0.310834974050522
1.71,12.2396183013916,0.314873516559601
1.72,12.024715423584,0.319604486227036
1.73,11.8147716522217,0.324980646371841
1.74,11.6098871231079,0.330948352813721
1.75,11.4101686477661,0.337448805570602
1.76,11.2156963348389,0.344418406486511
1.77,11.0265531539917,0.351789891719818
1.78,10.8427782058716,0.359492719173431
1.79,10.6644315719604,0.367454618215561
1.8,10.4915399551392,0.375602006912231
1.81,10.3241128921509,0.383861005306244
1.82,10.1621532440186,0.392158567905426
1.83,10.0056390762329,0.400422424077988
1.84,9.85452651977539,0.408583015203476
1.85,9.70876312255859,0.416573524475098
1.86,9.5682487487793,0.424330711364746
1.87,9.43287563323975,0.431795418262482
1.88,9.30251121520996,0.438913345336914
1.89,9.17697334289551,0.44563490152359
1.9,9.05605506896973,0.451916605234146
1.91,8.93952751159668,0.457719892263412
1.92,8.82711219787598,0.463012874126434
1.93,8.71849918365479,0.467769235372543
1.94,8.61334419250488,0.471968799829483
1.95,8.5112829208374,0.475597202777863
1.96,8.41189956665039,0.478646129369736
1.97,8.31475734710693,0.481112867593765
1.98,8.21939659118652,0.482999950647354
1.99,8.12532806396484,0.484315246343613
2,8.03205394744873,0.485071331262589
2.01,7.93905258178711,0.485285133123398
2.02,7.84580087661743,0.484977871179581
2.03,7.75177621841431,0.484174340963364
2.04,7.65646266937256,0.482902824878693
2.05,7.55935144424438,0.481194496154785
2.06,7.45995807647705,0.479083240032196
2.07,7.35782241821289,0.476605594158173
2.08,7.25250911712646,0.473799794912338
2.09,7.14363622665405,0.470706164836884
2.1,7.03086090087891,0.46736678481102
2.11,6.91388702392578,0.463825047016144
2.12,6.79247188568115,0.460125684738159
2.13,6.66643810272217,0.456314742565155
2.14,6.53566980361938,0.452439486980438
2.15,6.40010690689087,0.448548138141632
2.16,6.25976657867432,0.444689840078354
2.17,6.11471557617188,0.440914869308472
2.18,5.96510028839111,0.437274307012558
2.19,5.81112146377563,0.433820009231567
2.2,5.65304040908813,0.430604636669159
2.21,5.49117612838745,0.427681356668472
2.22,5.32590007781982,0.425103753805161
2.23,5.15762662887573,0.422925710678101
2.24,4.98681688308716,0.421200931072235
2.25,4.81396293640137,0.419982820749283
2.26,4.63958644866943,0.419323921203613
2.27,4.46422672271729,0.419275671243668
2.28,4.28844356536865,0.419887840747833
2.29,4.11279916763306,0.421207845211029
2.3,3.9378547668457,0.423280626535416
2.31,3.76416707038879,0.426147222518921
2.32,3.59228086471558,0.429844915866852
2.33,3.42272233963013,0.434406101703644
2.34,3.25598573684692,0.439857661724091
2.35,3.09254360198975,0.446220457553864
2.36,2.9328293800354,0.45350843667984
2.37,2.77724313735962,0.461728096008301
2.38,2.62613677978516,0.470878213644028
2.39,2.47982978820801,0.480948507785797
2.4,2.33858823776245,0.491920053958893
2.41,2.20263624191284,0.503764688968658
2.42,2.07215070724487,0.516444623470306
2.43,1.94726300239563,0.529912531375885
2.44,1.82806205749512,0.544111371040344
2.45,1.71459138393402,0.558974623680115
2.46,1.60685575008392,0.574427008628845
2.47,1.50482106208801,0.59038382768631
2.48,1.40841698646545,0.606752574443817
2.49,1.31754159927368,0.623433768749237
2.5,1.23206305503845,0.640320777893066
2.51,1.15182387828827,0.657301664352417
2.52,1.07664525508881,0.674260318279266
2.53,1.00632846355438,0.691077351570129
2.54,0.940660297870636,0.707631349563599
2.55,0.879415988922119,0.723800778388977
2.56,0.822362422943115,0.739464819431305
2.57,0.769261062145233,0.754505515098572
2.58,0.719870865345001,0.768808782100677
2.59,0.673951745033264,0.78226625919342
2.6,0.631266355514526,0.794776082038879
2.61,0.591582655906677,0.806245446205139
2.62,0.554675459861755,0.816590666770935
2.63,0.520327508449554,0.825739860534668
2.64,0.488334119319916,0.833631694316864
2.65,0.458499491214752,0.840219378471375
2.66,0.430640071630478,0.845468699932098
2.67,0.404585361480713,0.849360466003418
2.68,0.38017749786377,0.851889610290527
2.69,0.357271730899811,0.853066265583038
2.7,0.335736095905304,0.852915585041046
2.71,0.315451443195343,0.851476788520813
2.72,0.296310603618622,0.848803699016571
2.73,0.278218299150467,0.844963848590851
2.74,0.261090099811554,0.840036749839783
2.75,0.244852021336555,0.834114849567413
2.76,0.229439467191696,0.827299773693085
2.77,0.214796423912048,0.819703698158264
2.78,0.200874835252762,0.811445415019989
2.79,0.18763330578804,0.802650809288025
2.8,0.175036653876305,0.793450355529785
2.81,0.163054794073105,0.783977389335632
2.82,0.151662021875381,0.774366557598114
2.83,0.140836343169212,0.764752686023712
2.84,0.130558609962463,0.755268216133118
2.85,0.120811998844147,0.746042966842651
2.86,0.111581429839134,0.73720109462738
2.87,0.102852985262871,0.728861212730408
2.88,0.0946133881807327,0.721134305000305
2.89,0.0868502780795097,0.714123010635376
2.9,0.0795508176088333,0.707920610904694
2.91,0.0727022364735603,0.702609896659851
2.92,0.0662914142012596,0.698263466358185
2.93,0.0603048093616962,0.694942355155945
2.94,0.0547282882034779,0.692696511745453
2.95,0.0495471805334091,0.691563963890076
2.96,0.044746246188879,0.691571712493896
2.97,0.0403096899390221,0.692735314369202
2.98,0.0362212546169758,0.695058941841125
2.99,0.0324642732739449,0.698537230491638
3,0.0290217995643616,0.70315420627594
3.01,0.0258766673505306,0.708884477615356
3.02,0.0230116657912731,0.715694308280945
3.03,0.0204095803201199,0.72354257106781
3.04,0.0180533546954393,0.732379794120789
3.05,0.0159261934459209,0.742151498794556
3.06,0.0140116484835744,0.75279700756073
3.07,0.0122937113046646,0.764251589775085
3.08,0.0107569061219692,0.776446282863617
3.09,0.00938635226339102,0.789309144020081
3.1,0.00816782284528017,0.802766621112823
3.11,0.00708779459819198,0.816742777824402
3.12,0.00613347953185439,0.831161797046661
3.13,0.00529283564537764,0.845947444438934
3.14,0.00455464702099562,0.86102283000946
