angle,likelihood
205,2395.72639465332
206,2260.86158752441
207,2140.47718048096
208,2033.55503082275
209,1939.00089263916
210,1855.66024780273
211,1782.34195709229
212,1717.8316116333
213,1660.91766357422
214,1610.40878295898
215,1565.15464782715
216,1524.06644821167
217,1486.1385345459
218,1450.46281814575
219,1416.25213623047
220,1382.84645080566
221,1349.72553253174
222,1316.51306152344
223,1282.9761505127
224,1249.02019500732
225,1214.67981338501
226,1180.09424209595
227,1145.4984664917
228,1111.1870765686
229,1077.49900817871
230,1044.78187561035
231,1013.37575912476
232,983.58325958252
233,955.654239654541
234,929.773330688477
235,906.048965454102
236,884.511280059814
237,865.110778808594
238,847.729301452637
239,832.184219360352
240,818.242073059082
241,805.630779266357
242,794.052648544312
243,783.195447921753
244,772.744226455688
245,762.390089035034
246,751.837539672852
247,740.811109542847
248,729.060888290405
249,716.365623474121
250,702.536773681641
251,687.422323226929
252,670.91007232666
253,652.930307388306
254,633.458137512207
255,612.514686584473
256,590.169239044189
257,566.535425186157
258,541.769075393677
259,516.063499450684
260,489.641189575195
261,462.745141983032
262,435.629463195801
263,408.548164367676
264,381.745314598084
265,355.44536113739
266,329.845786094666
267,305.111217498779
268,281.370878219604
269,258.717250823975
270,237.207913398743
271,216.8696641922
272,197.703170776367
273,179.688668251038
274,162.793219089508
275,146.975409984589
276,132.191228866577
277,118.397641181946
278,105.555605888367
279,93.6309397220612
280,82.5949370861053
281,72.4231958389282
282,63.0942821502686
283,54.587733745575
284,50
285,50
286,50
287,50
288,50
289,50
290,50
291,50
292,50
293,50
294,50
295,50
296,50
297,50
298,50
299,50
300,50
301,50
302,50
303,50
304,50
305,50
306,50
307,50
308,50
309,50
310,50
311,50
312,50
313,50
314,50
315,50
316,50
317,50
318,50
319,50
320,50
321,50
322,50
323,50
324,50
325,50
326,50
327,50
328,50
329,50
330,50
331,50
332,50
333,50
334,50
335,50
336,50
337,50
338,50
339,50
340,50
341,50
342,50
343,50
344,50
345,50
346,50
347,50
348,50
349,50
350,50
351,50
352,53.1015992164612
353,59.955620765686
354,67.2990560531616
355,75.1192033290863
356,83.3987236022949
357,92.1160578727722
358,101.245748996735
359,110.758912563324
360,120.623755455017
