dist,likelihood
3.75,1.54637946252478e-005
3.76,1.95883603737457e-005
3.77,2.47431016759947e-005
3.78,3.11663097818382e-005
3.79,3.91465437132865e-005
3.8,4.903198350803e-005
3.81,6.12413859926164e-005
3.82,7.62767012929544e-005
3.83,9.47373700910248e-005
3.84,0.000117337061965372
3.85,0.000144922378240153
3.86,0.000178494025021791
3.87,0.000219231107621454
3.88,0.000268518837401643
3.89,0.000327974237734452
3.9,0.000399485870730132
3.91,0.000485246040625498
3.92,0.000587793125305325
3.93,0.000710053893271834
3.94,0.0008553919615224
3.95,0.00102765904739499
3.96,0.00123125035315752
3.97,0.00147116184234619
3.98,0.00175305083394051
3.99,0.00208330131135881
4,0.00246909447014332
4.01,0.00291847786866128
4.02,0.00344039080664516
4.03,0.0040448559448123
4.04,0.00474285753443837
4.05,0.00554665504023433
4.06,0.00646955613046885
4.07,0.00752631295472384
4.08,0.00873280875384808
4.09,0.0101065365597606
4.1,0.0116661451756954
4.11,0.0134320510551333
4.12,0.015425824560225
4.13,0.017670925706625
4.14,0.0201918985694647
4.15,0.0230152532458305
4.16,0.026168517768383
4.17,0.0296811927109957
4.18,0.0335836187005043
4.19,0.0379082001745701
4.2,0.0426877625286579
4.21,0.0479573272168636
4.22,0.0537520349025726
4.23,0.0601091124117374
4.24,0.067065566778183
4.25,0.0746605098247528
4.26,0.0829327329993248
4.27,0.0919215008616447
4.28,0.101668015122414
4.29,0.112212091684341
4.3,0.123595595359802
4.31,0.135858848690987
4.32,0.149044290184975
4.33,0.163192883133888
4.34,0.178347334265709
4.35,0.194548368453979
4.36,0.211839780211449
4.37,0.230262666940689
4.38,0.249861672520638
4.39,0.270678162574768
4.4,0.292758584022522
4.41,0.316145211458206
4.42,0.340886622667313
4.43,0.367027252912521
4.44,0.394618004560471
4.45,0.423706382513046
4.46,0.454346746206284
4.47,0.486590713262558
4.48,0.520497560501099
4.49,0.556122541427612
4.5,0.59353107213974
4.51,0.632785797119141
4.52,0.673952996730804
4.53,0.717108011245728
4.54,0.762321710586548
4.55,0.809676289558411
4.56,0.859250009059906
4.57,0.911134302616119
4.58,0.965415060520172
4.59,1.02219390869141
4.6,1.08156251907349
4.61,1.14363420009613
4.62,1.20850884914398
4.63,1.27630960941315
4.64,1.34715163707733
4.65,1.42116725444794
4.66,1.49848008155823
4.67,1.57923698425293
4.68,1.66358077526093
4.69,1.75167155265808
4.7,1.84366595745087
4.71,1.93975043296814
4.72,2.04009962081909
4.73,2.14491891860962
4.74,2.2544116973877
4.75,2.36881804466248
4.76,2.48837161064148
4.77,2.6133439540863
4.78,2.74401831626892
4.79,2.88068890571594
4.8,3.0237147808075
4.81,3.17343330383301
4.82,3.33025002479553
4.83,3.49457335472107
4.84,3.6668975353241
4.85,3.84768033027649
4.86,4.03748846054077
4.87,4.23689270019531
4.88,4.4465446472168
4.89,4.66710424423218
4.9,4.8993239402771
4.91,5.14398050308228
4.92,5.40193605422974
4.93,5.67406702041626
4.94,5.96138572692871
4.95,6.26487874984741
4.96,6.58566045761108
4.97,6.92488479614258
4.98,7.28378295898438
4.99,7.66358947753906
5,8.06572914123535
5.01,8.49153423309326
5.02,8.94248199462891
5.03,9.42010021209717
5.04,9.92593097686768
5.05,10.4615936279297
5.06,11.0286951065063
5.07,11.628942489624
5.08,12.2639675140381
5.09,12.9355249404907
5.1,13.6452379226685
5.11,14.394889831543
5.12,15.1860694885254
5.13,16.0204429626465
5.14,16.8995418548584
5.15,17.8249702453613
