HEADER "0-ALL!P" not followed by a proline
HEADER "1-ALLP"      followed by a proline
HEADER "2-GLY!P"
HEADER "3-GLYP"
HEADER "3-GLYP"
HEADER "4-PRO!P"
HEADER "5-PROP"
HEADER "6-VI!P"
HEADER "7-VIP"
HEADER "8-DN!P"
HEADER "9-DNP"
HEADER "10-ST!P"
HEADER "11-STP"
HEADER "12-EQ!P"
HEADER "13-EQP"
HEADER "14-LA!P"
HEADER "15-LAP"
1 4 11  -0.457   0.235  -0.186  -0.302
1 4 12  -0.222   0.192   0.179   0.011
1 4 13  -0.408   0.356  -0.085   0.044
1 4 14  -0.251   0.235   0.214   0.082
1 4 15  -0.398   0.431   0.006   0.094
2 0 0  -1.469   0.000   0.594   0.000
2 0 1  -0.688   0.000   0.407   0.000
2 0 2  -1.525   0.000   0.053   0.000
2 0 3  -0.891   0.000   0.112   0.000
2 0 4  -0.983   0.000  -0.653   0.000
2 0 5  -0.616   0.000  -0.537   0.000
2 0 6  -1.242   0.000   0.603   0.000
2 0 7  -0.774   0.000   0.464   0.000
2 0 8  -1.324   0.000   1.035   0.000
2 0 9  -0.328   0.000   0.543   0.000
2 0 10  -1.219   0.000   0.788   0.000
2 0 11  -0.520   0.000   0.502   0.000
2 0 12  -1.232   0.000   0.736   0.000
2 0 13  -0.420   0.000   0.449   0.000
2 0 14  -1.202   0.000   0.742   0.000
2 0 15  -0.543   0.000   0.458   0.000
2 1 0  -0.663  -0.108   0.007   0.303
2 1 1   0.508  -0.208  -0.101   0.689
2 1 2  -0.470   0.010  -0.235  -0.026
2 1 3   0.887   0.170  -0.043   0.118
2 1 4  -0.018  -0.489  -0.042  -0.089
2 1 5   0.436  -0.367   0.132  -0.090
2 1 6  -0.361  -0.084  -0.188   0.285
2 1 7   0.432  -0.546  -0.283   0.760
2 1 8  -0.679  -0.229   0.105   0.531
2 1 9   0.316  -0.096  -0.171   0.858
2 1 10  -0.553  -0.041  -0.137   0.239
2 1 11   0.293  -0.267  -0.203   0.847
2 1 12  -0.665  -0.110  -0.003   0.391
2 1 13   0.171  -0.256  -0.116   0.768
2 1 14  -0.642  -0.121  -0.031   0.366
2 1 15   0.242  -0.308  -0.085   0.842
2 2 0  -0.557   0.561  -0.040   0.423
2 2 1  -0.353   0.669  -0.389   0.658
2 2 2  -0.738   0.196  -0.166   0.696
2 2 3  -0.505   0.127  -0.155   1.186
2 2 4  -0.399   0.189  -0.080   0.531
2 2 5  -0.093   0.701  -0.065   0.630
2 2 6  -0.208   0.892   0.078  -0.041
2 2 7  -0.144   0.708  -0.192   0.176
